SessionID: 894b949f-79d2-4c4a-a4f0-ec795946aec2 | Frequency: 5.35 | Timestamp: 1730895175
Session 894b949f-79d2-4c4a-a4f0-ec795946aec2 ended
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 9.22 | Timestamp: 1730897806
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 10.31 | Timestamp: 1730897807
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 5.97 | Timestamp: 1730897808
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 1.11 | Timestamp: 1730897809
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 0.22 | Timestamp: 1730897810
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 8.12 | Timestamp: 1730897811
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -8.66 | Timestamp: 1730897812
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 3.67 | Timestamp: 1730897813
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 5.68 | Timestamp: 1730897814
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 9.35 | Timestamp: 1730897815
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -7.40 | Timestamp: 1730897816
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 1.55 | Timestamp: 1730897817
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -3.44 | Timestamp: 1730897818
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 0.17 | Timestamp: 1730897819
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 7.51 | Timestamp: 1730897820
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -7.78 | Timestamp: 1730897821
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 3.53 | Timestamp: 1730897822
